"","words","term.freq","doc.freq"
"7470","stapler",1,1
"7471","wakefield",5,4
"7472","joseph",3,3
"7473","holdsworth",1,1
"7474","cockburnspath",1,1
"7475","fife",4,3
"7476","dunfermline",1,1
"7477","drysdale",1,1
"7478","linlthgow",1,1
"7479","livingston",1,1
"7480","kid",1,1
"7481","ross",4,3
"7482","urquhart",1,1
"7483","dumbarton",1,1
"7484","kirkitulloch",1,1
"7485","ferrier",2,1
"7486","abraham",1,1
"7487","tailor",1,1
"7488","torthorwald",1,1
"7489","barber",1,1
"7490","cuthbert's",1,1
"7491","christy",2,1
"7492","carlaverick",1,1
"7493","gibson",2,1
"7494","andrew's",2,2
"7495","jane",4,4
"7496","drill",1,1
"7497","inverness",2,2
"7498","durenish",1,1
"7499","sep",1,1
"7500","calder",2,1
"7501","bruce",1,1
"7502","blacksmith",2,2
"7503","stirling",2,2
"7504","fintry",1,1
"7505","ritchie",5,3
"7506","borrie",1,1
"7507","darpenter",1,1
"7508","purdle",1,1
"7509","kingassle",1,1
"7510","donaldson",9,3
"7511","shares",12,5
"7512","andw",1,1
"7513","donaldsonn",1,1
"7514","asterisk",1,1
"7515","prefixed",1,1
"7516","bay.–it",1,1
"7517","derby",2,2
"7518","retribution",1,1
"7519","tottenham",2,1
"7520","diseased",1,1
"7521","infirm",3,3
"7522","intolerable",1,1
"7523","unaccountable",2,2
"7524","rudder",1,1
"7525","justification",1,1
"7526","protracted",1,1
"7527","inmates",4,4
"7528","mitigation",1,1
"7529","suspense",3,3
"7530","terrible",5,5
"7531","ings",2,2
"7532","hardto",1,1
"7533","described.–observer.the",1,1
"7534","lieut.-colonel",5,2
"7535","erskine.–it",1,1
"7536","erskine",4,2
"7537","erskine's",1,1
"7538","youngest",1,1
"7539","served",11,8
"7540","campaigns",1,1
"7541","gallantry",2,2
"7542","pyrenees",1,1
"7543","thigh",2,2
"7544","medical",18,8
"7545","adjutant-general's",1,1
"7546","wellington",12,8
"7547","waterloo",3,2
"7548","attendant",2,2
"7549","cannon-ball",1,1
"7550","fingers",1,1
"7551","cannon-shot",1,1
"7552","bleeding",2,2
"7553","mangled",2,2
"7554","prussian",2,2
"7555","musketry",1,1
"7556","trumpets",1,1
"7557","hat",7,6
"7558","shattered",1,1
"7559","waving",1,1
"7560","cheered",3,2
"7561","companions",2,2
"7562","midst",3,3
"7563","tent.it",1,1
"7564","afflicted",1,1
"7565","adjutant-general",1,1
"7566","fortunately",8,8
"7567","affectionate",3,3
"7568","pregnant",1,1
"7569","cough",1,1
"7570","consumptive",1,1
"7571","arising",6,6
"7572","india.colonel",1,1
"7573","daughter",8,4
"7574","infant",5,5
"7575","old.the",1,1
"7576","heiress",1,1
"7577","miss",6,5
"7578","wykeham",2,1
"7579","finally",6,6
"7580","arranged",1,1
"7581","assent",20,10
"7582","heirs",1,1
"7583","instances.the",1,1
"7584","refusal",2,2
"7585","princess",4,4
"7586","brighton",2,2
"7587","thriving",3,3
"7588","wooer.colonel",1,1
"7589","fitzclarence",1,1
"7590","acquirements",2,2
"7591","manliness",1,1
"7592","admirable",2,2
"7593","linguist",1,1
"7594","diplomacy",1,1
"7595","intelligencedeath",1,1
"7596","richmond.by",1,1
"7597","rive",1,1
"7598","later",5,5
"7599","lloyd's",3,3
"7600","lennox",2,1
"7601","recovery.lady",1,1
"7602","sarah",1,1
"7603","lennoc",1,1
"7604","grace's",10,2
"7605","lineal",1,1
"7606","duchess",6,4
"7607","louis",3,1
"7608","fourteenth",1,1
"7609","aubigny",4,1
"7610","titles",2,2
"7611","darnley",1,1
"7612","baron",4,3
"7613","methuen",1,1
"7614","torbulton",1,1
"7615","xviii",1,1
"7616","causing",3,3
"7617","estate",7,5
"7618","granting",5,3
"7619","louvre",1,1
"7620","lieutenant-general",1,1
"7621","gonervor",1,1
"7622","sussex",2,2
"7623","steward",5,4
"7624","chichester",5,3
"7625","uncle",3,3
"7626","charlotte",4,4
"7627","gordon",8,5
"7628","overboard",2,2
"7629","blake",5,2
"7630","sailing",4,4
"7631","mahon",1,1
"7632","drowned",4,4
"7633","duel",1,1
"7634","qualities",8,7
"7635","conspicuous",3,3
"7636","viceroy",5,4
"7637","country.his",1,1
"7638","peerage",2,2
"7639","eldest",2,1
"7640","nobleman",1,1
"7641","auspices",4,4
"7642","aides-de-camp",1,1
"7643","anglesea",1,1
"7644","march.the",2,2
"7645","papers:quebec",1,1
"7646","dispensations",1,1
"7647","separating",3,3
"7648","ruler",1,1
"7649","covers",1,1
"7650","communities",4,4
"7651","mourning.an",1,1
"7652","visiting",3,2
"7653","engaged.this",1,1
"7654","gloom",1,1
"7655","citadel",1,1
"7656","hoisted",1,1
"7657","half-mast",1,1
"7658","exhibiting",2,2
"7659","signals",1,1
"7660","mourning.his",1,1
"7661","malsham",1,1
"7662","concourse",1,1
"7663","mourning",1,1
"7664","inhabitants.september",1,1
"7665","remains",13,13
"7666","hearse",2,1
"7667","chateau",1,1
"7668","internment",2,2
"7669","quebec.on",1,1
"7670","collar",2,2
"7671","insignia",1,1
"7672","garter",1,1
"7673","coffin",1,1
"7674","rested",1,1
"7675","reversed.the",1,1
"7676","principals",4,4
"7677","departments.the",0,0
"7678","filed",1,1
"7679","aisle",2,2
"7680","played",3,3
"7681","platform",1,1
"7682","mourners",1,1
"7683","fired.extract",1,1
"7684","hydrophobia",1,1
"7685","mortal",1,1
"7686","career",5,4
"7687","spasm",1,1
"7688","bite",1,1
"7689","tame",1,1
"7690","fox",1,1
"7691","juncture",1,1
"7692","looked",15,15
"7693","unfortuante",1,1
"7694","completing",3,3
"7695","states.we",1,1
"7696","dangerously",1,1
"7697","affliction.colonel",1,1
"7698","senior",5,3
"7699","station.sir",1,1
"7700","saxton",1,1
"7701","aides-de",1,1
"7702","winnipeg",1,1
"7703","dissentions",1,1
"7704","regulating",1,1
"7705","nails",1,1
"7706","snuff",1,1
"7707","riased",1,1
"7708","ad-valorem",1,1
"7709","cent.buffalo",1,1
"7710","misdemeanour",1,1
"7711","obeying",1,1
"7712","banished",1,1
"7713","province.from",1,1
"7714","lieut",13,10
"7715","birch",2,1
"7716","shooting",5,4
"7717","sometime",2,2
"7718","laboured",1,1
"7719","survivors",2,2
"7720","awful",3,3
"7721","agricultural",18,15
"7722","evident",7,6
"7723","laudable",3,3
"7724","awakened",1,1
"7725","record",2,2
"7726","testimony",5,5
"7727","meetings",5,5
"7728","duration",3,3
"7729","intoxication",4,2
"7730","disorderly",1,1
"7731","altercation.the",1,1
"7732","nassau",3,3
"7733","gregor",2,2
"7734","m'gregor",6,3
"7735","charging",1,1
"7736","aiding",1,1
"7737","abetting",1,1
"7738","issuing",2,2
"7739","bahamas",1,1
"7740","spain.a",1,1
"7741","sierra",6,6
"7742","leone",7,7
"7743","deepest",3,3
"7744","dragging",1,1
"7745","thousnads",1,1
"7746","endless",3,3
"7747","captivity",2,2
"7748","supercargo",2,2
"7749","calabia",1,1
"7750","averaging",4,4
"7751","colonies.we",1,1
"7752","gibraltar",5,4
"7753","chronicles",1,1
"7754","leon",1,1
"7755","customary",1,1
"7756","quatine",1,1
"7757","tents",1,1
"7758","infection",2,2
"7759","unhappily",1,1
"7760","fortress",2,1
"7761","callings",1,1
"7762","heir",4,4
"7763","peremptorily",10,10
"7764","enjoined.we",1,1
"7765","infected",1,1
"7766","statements",11,8
"7767","abusive",1,1
"7768","anonymous",4,2
"7769","angry",3,1
"7770","vent",1,1
"7771","wrath",1,1
"7772","assign",4,4
"7773","quarrel",3,3
"7774","cleanliness",4,2
"7775","birkbeck",13,5
"7776","conclu-sive",1,1
"7777","viewing",3,3
"7778","sketching",1,1
"7779","characteristics",1,1
"7780","formity",2,2
"7781","help",8,5
"7782","esteem",4,3
"7783","admits",3,3
"7784","exceptions",2,1
"7785","erased",1,1
"7786","wont",2,2
"7787","adhere",3,3
"7788","englishman",7,5
"7789","bred",2,2
"7790","cabin",7,6
"7791","origin",1,1
"7792","exhanged",1,1
"7793","hovel",1,1
"7794","unhewn",1,1
"7795","logs",2,2
"7796","framed",3,3
"7797","unconsciously",1,1
"7798","court-houses",1,1
"7799","filth",1,1
"7800","accumulating",1,1
"7801","styles",1,1
"7802","abomination",1,1
"7803","assemble",3,3
"7804","inferred",1,1
"7805","decencies",1,1
"7806","prevails",5,5
"7807","community?'to",1,1
"7808","sloven",1,1
"7809","liness",1,1
"7810","homsteads",1,1
"7811","dwellings",1,1
"7812","homesteads",1,1
"7813","behind",6,5
"7814","exemplary",2,2
"7815","guild",1,1
"7816","surrey",5,4
"7817","neat",5,3
"7818","ness",1,1
"7819","gentlemn's",1,1
"7820","drawing-rooms",1,1
"7821","car",2,2
"7822","pet",1,1
"7823","imitate",1,1
"7824","perfec",1,1
"7825","tion",3,3
"7826","mediocrity",1,1
"7827","perfection",2,2
"7828","slovens.'he",1,1
"7829","guildford",4,3
"7830","carter",1,1
"7831","smock-frock",1,1
"7832","shaven",1,1
"7833","washed",3,3
"7834","finds",4,4
"7835","dirt",1,1
"7836","necks",1,1
"7837","faces",4,4
"7838","skins",2,2
"7839","cleanly",1,1
"7840","trid",1,1
"7841","stink",1,1
"7842","nasty",1,1
"7843","nastiest",1,1
"7844","nature.'in",1,1
"7845","argue",1,1
"7846","corrected.with",1,1
"7847","autheor",1,1
"7848","combines",1,1
"7849","precision",1,1
"7850","statistical",1,1
"7851","unequally",1,1
"7852","enlarged",2,2
"7853","physical",2,2
"7854","cheapness",1,1
"7855","demands",6,6
"7856","excessive",5,5
"7857","economy",8,6
"7858","exepmtions",1,1
"7859","mands",1,1
"7860","permanency",1,1
"7861","bour",1,1
"7862","circumstances.'our",1,1
"7863","displeased",1,1
"7864","perincious",1,1
"7865","mentions",6,6
"7866","envy",2,1
"7867","degradation",7,6
"7868","adduce",1,1
"7869","contradicting",1,1
"7870","notion",1,1
"7871","confounded",2,1
"7872","negroe",2,1
"7873","expresses",1,1
"7874","sla",1,1
"7875","enables",2,2
"7876","contradict",1,1
"7877","manual",1,1
"7878","estimates",3,3
"7879","races",2,2
"7880","profound",2,2
"7881","perty",1,1
"7882","opi",1,1
"7883","nion",0,0
"7884","remotely",1,1
"7885","african",8,5
"7886","meanest",1,1
"7887","louisi",1,1
"7888","ana",1,1
"7889","exemplifications",1,1
"7890","innate",1,1
"7891","contempt",3,2
"7892","affinity",1,1
"7893","tumely",1,1
"7894","heaped",1,1
"7895","slavery.'what",1,1
"7896","picture",4,4
"7897","failry",1,1
"7898","confessed",3,3
"7899","intel",1,1
"7900","lectual",1,1
"7901","privileged",1,1
"7902","wretchedly",1,1
"7903","estimable",2,2
"7904","contemned",1,1
"7905","possesses",1,1
"7906","happens",4,4
"7907","accidental",1,1
"7908","corporeal",1,1
"7909","entails",1,1
"7910","possessor",1,1
"7911","everlasting",1,1
"7912","ignominy",1,1
"7913","distinctions",1,1
"7914","excess",9,6
"7915","extinction",1,1
"7916","hateful",1,1
"7917","rule",4,4
"7918","feeling.with",1,1
"7919","quote",1,1
"7920","brown's",1,1
"7921","gazetteer",1,1
"7922","directory",1,1
"7923","describing",1,1
"7924","lexington",4,3
"7925","stands",6,6
"7926","market-house",1,1
"7927","wed",1,1
"7928","nesdays",1,1
"7929","saturdays",1,1
"7930","practise",19,18
"7931","incorrigible",1,1
"7932","screams",2,2
"7933","knell",2,2
"7934","libery.'having",1,1
"7935","disclaim",3,3
"7936","depreciate",3,3
"7937","spectacle",1,1
"7938","advancing",6,6
"7939","greatness",3,3
"7940","revile",1,1
"7941","foolish",1,1
"7942","blind",3,3
"7943","offence",6,6
"7944","hiding",1,1
"7945","u.c",1,1
"7946","company.on",1,1
"7947","accused",5,3
"7948","disclousure",1,1
"7949","bya",1,1
"7950","mackenzie",3,3
"7951","m'gillis",1,1
"7952","simon",1,1
"7953","macdonald",3,3
"7954","m'laughlin",1,1
"7955","accessories",2,1
"7956","severlight",1,1
"7957","accessory",2,1
"7958","fact.it",1,1
"7959","evidence",24,12
"7960","century",4,4
"7961","resorting",3,3
"7962","disturbance",3,3
"7963","enlisting",1,1
"7964","dried",3,3
"7965","flesh",10,10
"7966","producing",7,6
"7967","dissention",1,1
"7968","stations",2,2
"7969","rival",1,1
"7970","divisions",4,4
"7971","undisturbed",1,1
"7972","traders.the",1,1
"7973","macdonnell",5,1
"7974","soi-disant",1,1
"7975","ossinibour",1,1
"7976","prohibiting",2,2
"7977","document",6,6
"7978","trials",5,4
"7979","depots",1,1
"7980","blockaded",2,2
"7981","batteries",1,1
"7982","interdicted",1,1
"7983","ensuring",1,1
"7984","people.mutual",1,1
"7985","exasperated",2,2
"7986","suspicious",0,0
"7987","loch",1,1
"7988","affray",2,1
"7989","investigated",3,2
"7990","bouche",1,1
"7991","acquittal",1,1
"7992","shows",6,6
"7993","assailants",2,1
"7994","colin",1,1
"7995","robertson",4,4
"7996","forks",1,1
"7997","materials",12,12
"7998","floated",2,2
"7999","rafts",1,1
"8000","constructing",1,1
"8001","douglas",8,5
"8002","predecessors",2,2
"8003","plete",1,1
"8004","blockage",1,1
"8005","intercept",1,1
"8006","riviere",1,1
"8007","qui",1,1
"8008","appele",1,1
"8009","breeds",4,2
"8010","semple's",4,1
"8011","canoes",19,11
"8012","apprise",1,1
"8013","blockages",1,1
"8014","concert",2,2
"8015","eluding",1,1
"8016","cuthbert",1,1
"8017","breed",3,3
"8018","clerk",9,5
"8019","swamp",2,2
"8020","deserted",13,13
"8021","conflict",5,4
"8022","killed.it",1,1
"8023","replace",1,1
"8024","replenish",1,1
"8025","rescue",1,1
"8026","intercepted",1,1
"8027","blockading",1,1
"8028","cannonmen",1,1
"8029","molesting",1,1
"8030","attacked.–they",1,1
"8031","self",3,3
"8032","defended",3,3
"8033","subpoenas",3,2
"8034","sevewright",1,1
"8035","accessaries",1,1
"8036","unsuccessful",2,2
"8037","blame",2,2
"8038","murderers–the",1,1
"8039","presided",10,10
"8040","scintilla",1,1
"8041","accordinagly",1,1
"8042","guilty.it",1,1
"8043","recollected",4,4
"8044","murder–and",1,1
"8045","lordship's",3,2
"8046","accusations",1,1
"8047","palliate",1,1
"8048","atrocious",1,1
"8049","recovered",5,5
"8050","re-established",1,1
"8051","uncertainty",1,1
"8052","contradictory",1,1
"8053","affidavits",1,1
"8054","public.the",2,2
"8055","figuring",1,1
"8056","seizing",1,1
"8057","books",3,3
"8058","reform",5,3
"8059","canadait",1,1
"8060","delegates",1,1
"8061","pursuance",2,2
"8062","recommendation",3,3
"8063","imperial",2,2
"8064","designing",1,1
"8065","organize",1,1
"8066","discontent.the",1,1
"8067","reofrming",1,1
"8068","suspension",2,2
"8069","corpus",1,1
"8070","maitland's",1,1
"8071","servility",1,1
"8072","control",7,6
"8073","disseminated",1,1
"8074","anlibel",1,1
"8075","ears",1,1
"8076","provoke",1,1
"8077","mental",1,1
"8078","illegal",1,1
"8079","legitimate",2,2
"8080","decision",5,4
"8081","purge",1,1
"8082","mal-administration",1,1
"8083","paper:–interesting",1,1
"8084","brotherly",2,1
"8085","union.it",1,1
"8086","spartan",1,1
"8087","sanctioned",12,12
"8088","apostolical",1,1
"8089","usage",1,1
"8090","enjoying",3,3
"8091","priate",1,1
"8092","engendered",1,1
"8093","imperfect",3,3
"8094","felicityto",1,1
"8095","surveyedhusbandmen",1,1
"8096","artisans",7,6
"8097","invited",3,3
"8098","fellowship",1,1
"8099","faith.want",1,1
"8100","excluding",3,3
"8101","colonist",1,1
"8102","fundamental",1,1
"8103","refunded",1,1
"8104","assignees",1,1
"8105","demand.the",1,1
"8106","bounds",4,3
"8107","government.all",1,1
"8108","specify",1,1
"8109","propery",1,1
"8110","c.no",1,1
"8111","superscription",1,1
"8112","union.'s",1,1
"8113","applicants",4,4
"8114","convene",1,1
"8115","code",3,3
"8116","establishment.s",1,1
"8117","cleveland",1,1
"8118","blythst",1,1
"8119","contant",1,1
"8120","paers",1,1
"8121","insertion",4,3
"8122","bono",1,1
"8123","publico",1,1
"8124","coffeehouse",3,3
"8125","grassie",1,1
"8126","unaminously–that",1,1
"8127","petitioned",1,1
"8128","halifax.–that",1,1
"8129","funds.–that",1,1
"8130","notes",14,6
"8131","bank.–that",1,1
"8132","classification",2,2
"8133","vote.–that",1,1
"8134","presetned",1,1
"8135","doubloun",1,1
"8136","sovereigh",1,1
"8137","adjourned.york",1,1
"8138","tex",1,1
"8139","othersa",1,1
"8140","indictment",3,2
"8141","impoverish",1,1
"8142","partnes",1,1
"8143","lorimer",1,1
"8144","pratais",1,1
"8145","d'orsonnens",1,1
"8146","meuron",1,1
"8147","frederick",5,4
"8148","matthey",2,1
"8149","fauche",1,1
"8150","graffenrad",1,1
"8151","vichie",1,1
"8152","macdonnel",1,1
"8153","fecibles",1,1
"8154","bridport",1,1
"8155","beecher",1,1
"8156","doctor",4,4
"8157","allen",3,1
"8158","spencer",2,2
"8159","donald",1,1
"8160","macpherson",1,1
"8161","chatelain",1,1
"8162","m'nab",1,1
"8163","bourke.the",1,1
"8164","counts",1,1
"8165","overt",1,1
"8166","documentary",1,1
"8167","oral",1,1
"8168","prominent",4,4
"8169","armind",1,1
"8170","entry",2,2
"8171","retaining",1,1
"8172","rid",5,4
"8173","related",2,2
"8174","outfits",1,1
"8175","felony",3,1
"8176","examination",5,5
"8177","duress",1,1
"8178","tampering",3,2
"8179","debauching",1,1
"8180","company's",8,8
"8181","advising",2,2
"8182","alleging",2,2
"8183","pluie",1,1
"8184","c.upon",1,1
"8185","arraigned",3,3
"8186","day.wm",1,1
"8187","selkirkthis",1,1
"8188","imprisonment.it",1,1
"8189","plaintiff",2,1
"8190","writ",3,2
"8191","doors",6,5
"8192","custody",1,1
"8193","dwelt",3,3
"8194","reinhard",1,1
"8195","accusation",1,1
"8196","school",6,3
"8197","nominally",2,2
"8198","surveillance",1,1
"8199","comrades",1,1
"8200","option",2,2
"8201","molest",1,1
"8202","deliberation",2,2
"8203","currency.after",1,1
"8204","narrating",1,1
"8205","parages",1,1
"8206","journal",6,6
"8207","catastrophe",3,3
"8208","tatham",3,1
"8209","engineering.–who",1,1
"8210","residing",6,6
"8211","addicted–was",1,1
"8212","breathe",1,1
"8213","intemperance",2,2
"8214","exclaimed",2,2
"8215","conolonel",1,1
"8216","front",6,6
"8217","muzzle",1,1
"8218","abdomen",1,1
"8219","literally",3,3
"8220","uttering",1,1
"8221","byestanders",1,1
"8222","strip",2,2
"8223","attractions",1,1
"8224","horroer",1,1
"8225","commiseraton",1,1
"8226","genius",4,4
"8227","resource",3,3
"8228","leedsapril",1,1
"8229","assemblage",4,3
"8230","croppers",1,1
"8231","cloth-dressers",1,1
"8232","kep",1,1
"8233","wortley",1,1
"8234","armley",1,1
"8235","holbeck",1,1
"8236","briggate",1,1
"8237","sticks",1,1
"8238","peaceable",3,3
"8239","loud",6,6
"8240","mayor",5,4
"8241","rea",1,1
"8242","diness",1,1
"8243","slightest",3,3
"8244","perplexing",1,1
"8245","augment",2,2
"8246","manufactories.chesterapril",1,1
"8247","bagguely",1,1
"8248","samuel",2,2
"8249","convicted",2,2
"8250","sedition",1,1
"8251","adrdress",1,1
"8252","chief-justice",1,1
"8253","copley",1,1
"8254","sentenced",5,5
"8255","imprisonment",4,4
"8256","behaviour",2,2
"8257","each.we",1,1
"8258","monmouthshire",1,1
"8259","diminishes",1,1
"8260","scarcer",1,1
"8261","them.amongst",1,1
"8262","thistlewaith",1,1
"8263","meadow",1,1
"8264","lane",1,1
"8265","leeds",3,3
"8266","woollen",1,1
"8267","conjunction",2,2
"8268","dewsbury",1,1
"8269","overburdened",1,1
"8270","pecuniary",5,5
"8271","nation–their",1,1
"8272","industry–articles",1,1
"8273","country.the",3,3
"8274","impost",1,1
"8275","levied",3,2
"8276","authors",1,1
"8277","publishers",1,1
"8278","copyright",1,1
"8279","copies",1,1
"8280","libraries",1,1
"8281","repealed",1,1
"8282","committe",2,2
"8283","display",4,3
"8284","country.saturday",1,1
"8285","allsop",1,1
"8286","camelford.yesterday",1,1
"8287","corrupt",2,2
"8288","perjury",1,1
"8289","behalf",4,4
"8290","petitioner",1,1
"8291","examined",7,5
"8292","election",12,7
"8293","penrhyn.extraordinary",1,1
"8294","legacy.–a",1,1
"8295","legacy",4,3
"8296","poundsbequeathed",1,1
"8297","berlin",2,2
"8298","foreigner",1,1
"8299","disputed",1,1
"8300","heir-at-law",1,1
"8301","immoral",1,1
"8302","novelty",1,1
"8303","pleadings",2,2
"8304","classical",2,2
"8305","learning",3,3
"8306","lords.–morn",1,1
"8307","chron.town",1,1
"8308","southwark.–thomas",1,1
"8309","wing",3,2
"8310","reeve",2,1
"8311","marshalman",2,1
"8312","earner",1,1
"8313","suspicion",2,2
"8314","robbing",1,1
"8315","employers",5,5
"8316","sentance",1,1
"8317","flint",1,1
"8318","grocers",1,1
"8319","high-street.the",1,1
"8320","prisoner's",1,1
"8321","detection",2,2
"8322","prosecutors",2,2
"8323","dog",2,1
"8324","handkerchief",1,1
"8325","stables",1,1
"8326","restless",3,3
"8327","pulling",2,2
"8328","skirt",1,1
"8329","heydon",1,1
"8330","apprentice",2,1
"8331","stable",3,3
"8332","heap",1,1
"8333","rubbish",1,1
"8334","scratch",1,1
"8335","booty",1,1
"8336","marking",2,2
"8337","searching",1,1
"8338","ballpence",1,1
"8339","pocket.–remanded",1,1
"8340","committee.–the",1,1
"8341","journals",7,4
"8342","wek",1,1
"8343","asserted",4,4
"8344","intend",6,5
"8345","ricardo's",3,1
"8346","bars",6,2
"8347","buy",6,5
"8348","demanded",20,12
"8349","d.if",1,1
"8350","correct",10,7
"8351","bullion",1,1
"8352","metallic",3,2
"8353","panic",3,2
"8354","cramp",1,1
"8355","upthe",1,1
"8356","hoard",1,1
"8357","silver.in",1,1
"8358","unquestionable",3,3
"8359","foundation",7,7
"8360","indeed–the",1,1
"8361","steadier",1,1
"8362","drain",1,1
"8363","troubles",2,2
"8364","compelling",2,2
"8365","augur",1,1
"8366","favourably",2,2
"8367","tierney",2,1
"8368","voting",2,2
"8369","resumpion",1,1
"8370","voted",14,9
"8371","resumption",1,1
"8372","courier.grand",1,1
"8373","pigeon",1,1
"8374","midgham",1,1
"8375","club",5,2
"8376","thrice",1,1
"8377","farnham",1,1
"8378","twenty-one",3,2
"8379","unlimited",1,1
"8380","russel",2,1
"8381","holt",2,1
"8382","crack",1,1
"8383","keans",2,1
"8384","sports",1,1
"8385","nineteen",1,1
"8386","eighteen",3,1
"8387","bagged",1,1
"8388","sixteen",2,2
"8389","fifty-two",2,2
"8390","backed",2,1
"8391","win",4,2
"8392","bird",3,1
"8393","missed",3,1
"8394","betting",1,1
"8395","onn",1,1
"8396","tie",2,2
"8397","seventeenth",1,1
"8398","kill",22,13
"8399","prize",2,2
"8400","years.letters",1,1
"8401","ultimo",3,3
"8402","gustavus",3,1
"8403","studies",1,1
"8404","oxford",3,2
"8405","largely",2,2
"8406","forget",4,4
"8407","vasa",1,1
"8408","sovereigns",1,1
"8409","potentate",1,1
"8410","generosity",2,2
"8411","magnanimity",9,9
"8412","proverbial",1,1
"8413","espouse",1,1
"8414","cousin",3,2
"8415","hesse",1,1
"8416","cassel",1,1
"8417","matrimonial",1,1
"8418","alliance",5,5
"8419","swedish",3,2
"8420","dynasty.papers",1,1
"8421","arrivedon",1,1
"8422","intelligencer",1,1
"8423","strictures",1,1
"8424","lacock's",1,1
"8425","seminole",1,1
"8426","defends",2,2
"8427","sanguinary",10,10
"8428","tenessee",1,1
"8429","cayes",2,2
"8430","m'gregor's",1,1
"8431","intelligencesome",1,1
"8432","summoned",2,2
"8433","talbot",1,1
"8434","dunwich",1,1
"8435","statess.extract",1,1
"8436","george-town",1,1
"8437","tobago",4,4
"8438","rains",2,2
"8439","inundated",1,1
"8440","frost",2,2
"8441","numbered",2,2
"8442","baffled",1,1
"8443","suspended–the",1,1
"8444","seeking",3,3
"8445","healthiest",3,3
"8446","contagious",1,1
"8447","touch",4,4
"8448","william's",1,1
"8449","her–some",1,1
"8450","fast.'a",1,1
"8451","gazettes",5,5
"8452","contradiction",2,2
"8453","mortality",6,6
"8454","peninsula",2,2
"8455","number.a",1,1
"8456","havannah",2,2
"8457","baring",2,2
"8458","purchases",3,3
"8459","esq.washington",1,1
"8460","hotel",6,3
"8461","orleans",6,3
"8462","gravesend",6,6
"8463","nottinghamshire",1,1
"8464","lancashire",1,1
"8465","wiltshire",2,1
"8466","somersetshire",1,1
"8467","heavily-taxed",1,1
"8468","rabbit",1,1
"8469","double-barrelled",1,1
"8470","knock",1,1
"8471","fetter-lane",1,1
"8472","deer",2,2
"8473","marshy",1,1
"8474","spite",1,1
"8475","remonstrances",2,2
"8476","rheumatic",1,1
"8477","fat",2,2
"8478","woodcocks",1,1
"8479","snipes",1,1
"8480","fowl",1,1
"8481","waggon",10,4
"8482","whereon",1,1
"8483","sugar-houses",1,1
"8484","molasses",1,1
"8485","offers",9,7
"8486","slovenly",1,1
"8487","lazy",4,4
"8488","managers",12,4
"8489","scenery",1,1
"8490","thames",2,2
"8491","staines",1,1
"8492","bath",1,1
"8493","shops",1,1
"8494","gambling",3,3
"8495","claret",1,1
"8496","beer",2,2
"8497","stinking",1,1
"8498","covent",2,2
"8499","dine",1,1
"8500","trouble",9,6
"8501","cents",4,4
"8502","peas",2,2
"8503","rye",2,2
"8504","seed",2,2
"8505","hill's",1,1
"8506","ploughs",2,2
"8507","trimmer",1,1
"8508","hounds",1,1
"8509","hunting",2,2
"8510","b.'s",1,1
"8511","dollar",8,5
"8512","renting",1,1
"8513","riply",1,1
"8514","profit",7,6
"8515","ripley",1,1
"8516","penny",3,3
"8517","washing",3,3
"8518","dozen",1,1
"8519","shirts",1,1
"8520","cravats",1,1
"8521","handkerchiefs",1,1
"8522","gallon",1,1
"8523","custom-house",5,5
"8524","americaimportant",1,1
"8525","engineer",1,1
"8526","louisville",2,2
"8527","inure",1,1
"8528","dung",1,1
"8529","hurtful",2,2
"8530","wonder",2,2
"8531","inches",4,3
"8532","ones",2,2
"8533","scratching",1,1
"8534","hoe",2,2
"8535","shuffle",1,1
"8536","looseness",1,1
"8537","mellowness",1,1
"8538","eighty",2,2
"8539","roots",2,2
"8540","rot",2,2
"8541","modes",4,4
"8542","proven",1,1
"8543","adapted",3,3
"8544","adapting",1,1
"8545","wrights",2,2
"8546","fitter",2,2
"8547","cradle",2,2
"8548","scythe",1,1
"8549","refular",1,1
"8550","reapers",1,1
"8551","average",11,6
"8552","easier",2,2
"8553","weeds",2,2
"8554","ploughed",3,2
"8555","frosts",2,2
"8556","injure",2,2
"8557","stacked",1,1
"8558","housed",1,1
"8559","shortness",1,1
"8560","mildness",2,2
"8561","provender",1,1
"8562","needed",2,2
"8563","swine",3,2
"8564","fatten",1,1
"8565","nutriment",1,1
"8566","beast",2,2
"8567","se'ennight",2,2
"8568","eyre",3,1
"8569","recruit",1,1
"8570","captivated",1,1
"8571","embarking",2,2
"8572","fanciful",1,1
"8573","uniforms",1,1
"8574","treat",5,5
"8575","purse",1,1
"8576","contented",2,2
"8577","defrayed",1,1
"8578","d'evereaux",2,1
"8579","wexford",1,1
"8580","professes",1,1
"8581","livar",1,1
"8582","venezuela",4,3
"8583","dispatched",6,6
"8584","shewn",3,3
"8585","activity",10,9
"8586","intelligenceadvices",1,1
"8587","caffres",7,4
"8588","regarding",8,7
"8589","suppress",2,2
"8590","restored.we",1,1
"8591","ill-fated",1,1
"8592","island.a",1,1
"8593","regretted",4,3
"8594","java",2,2
"8595","surrendered",1,1
"8596","rapacity",1,1
"8597","torture",1,1
"8598","maxims",1,1
"8599","jurisprudence",2,2
"8600","popular.considerable",1,1
"8601","since.several",1,1
"8602","emigration.the",4,4
"8603","middling",1,1
"8604","sustenance",1,1
"8605","copartnerships",1,1
"8606","singly",2,2
"8607","jointly",1,1
